step,loss,time_seconds
539,0.205014,36.90
540,0.236885,36.97
541,0.235124,37.05
542,0.269327,37.11
543,0.175174,37.14
544,0.279645,37.25
545,0.193109,37.30
546,0.273690,37.37
547,0.246996,37.46
548,0.201025,37.53
549,0.178858,37.58
550,0.342068,37.64
551,0.509774,37.66
552,0.252701,37.74
553,0.138398,37.79
554,0.339232,37.84
555,0.291471,37.92
556,0.311332,38.00
557,0.354801,38.04
558,0.393373,38.10
559,0.212185,38.17
560,0.252869,38.25
561,0.257825,38.30
562,0.302948,38.38
563,0.347394,38.46
564,0.285294,38.53
565,0.212178,38.58
566,0.273585,38.64
567,0.373480,38.71
568,0.247933,38.79
569,0.287763,38.88
570,0.191677,38.94
571,0.278363,39.00
572,0.221201,39.07
573,0.289659,39.15
574,0.215358,39.22
575,0.208080,39.28
576,0.294595,39.34
577,0.190628,39.42
578,0.272354,39.50
579,0.210269,39.58
580,0.263356,39.66
581,0.273640,39.73
582,0.298856,39.82
583,0.234199,39.92
584,0.377853,39.99
585,0.268912,40.04
586,0.232668,40.07
587,0.239793,40.13
588,0.286802,40.22
589,0.287322,40.28
590,0.315787,40.33
591,0.210768,40.38
592,0.223881,40.45
593,0.205837,40.53
594,0.305947,40.64
595,0.219864,40.68
596,0.246940,40.75
597,0.134830,40.82
598,0.283183,40.90
599,0.115586,40.96
600,0.178183,41.02
601,0.189987,41.08
602,0.260034,41.17
603,0.342794,41.25
604,0.244733,41.31
605,0.327420,41.42
606,0.213634,41.50
607,0.083333,41.54
608,0.289346,41.66
609,0.281018,41.71
610,0.233448,41.80
611,0.349326,41.86
612,0.240248,41.92
613,0.150153,41.99
614,0.263451,42.06
615,0.239561,42.12
616,0.217029,42.17
617,0.282130,42.26
618,0.183108,42.32
619,0.232014,42.37
620,0.251800,42.48
621,0.244589,42.55
622,0.279639,42.63
623,0.245928,42.69
624,0.221505,42.77
625,0.250170,42.86
626,0.190897,42.93
627,0.212779,43.00
628,0.218981,43.06
629,0.218374,43.13
630,0.222617,43.22
631,0.319004,43.29
632,0.207894,43.35
633,0.226420,43.44
634,0.181963,43.49
635,0.255332,43.58
636,0.234403,43.65
637,0.180130,43.72
638,0.218747,43.79
639,0.201202,43.85
640,0.334451,43.91
641,0.252530,44.00
642,0.236275,44.06
643,0.229866,44.15
644,0.225283,44.19
645,0.203143,44.23
646,0.137809,44.27
647,0.233575,44.34
648,0.388604,44.39
649,0.225131,44.46
650,0.307945,44.54
651,0.240536,44.60
652,0.235354,44.66
653,0.376697,44.74
654,0.323321,44.81
655,0.277275,44.90
656,0.079630,44.94
657,0.332853,45.01
658,0.293820,45.08
659,0.257226,45.14
660,0.139375,45.19
661,0.329305,45.27
662,0.310431,45.35
663,0.248363,45.39
664,0.243836,45.47
665,0.329977,45.55
666,0.225380,45.61
667,0.235607,45.68
668,0.253440,45.77
669,0.153923,45.83
670,0.221777,45.87
671,0.166253,45.90
672,0.183418,45.95
673,0.218271,46.02
674,0.317423,46.09
