step,loss,time_seconds
450,0.328083,22.92
451,0.297389,22.98
452,0.183579,23.00
453,0.159681,23.04
454,0.217332,23.09
455,0.247912,23.16
456,0.211716,23.24
457,0.146085,23.29
458,0.249621,23.36
459,0.243489,23.43
460,0.108623,23.48
461,0.170508,23.57
462,0.312787,23.66
463,0.284265,23.74
464,0.305647,23.78
465,0.288001,23.84
466,0.256584,23.89
467,0.221477,23.93
468,0.379724,24.00
469,0.289794,24.05
470,0.292613,24.08
471,0.225871,24.17
472,0.158338,24.20
473,0.310271,24.28
474,0.205516,24.33
475,0.074390,24.33
476,0.212828,24.38
477,0.236795,24.43
478,0.225992,24.46
479,0.262806,24.52
480,0.074485,24.54
481,0.101667,24.55
482,0.364474,24.60
483,0.309822,24.68
484,0.279363,24.75
485,0.227851,24.79
486,0.324508,24.87
487,0.247929,24.92
488,0.257894,24.98
489,0.283141,25.06
490,0.258146,25.13
491,0.224343,25.18
492,0.306728,25.21
493,0.146062,25.24
494,0.284925,25.32
495,0.304939,25.36
496,0.273235,25.40
497,0.338275,25.45
498,0.176132,25.48
499,0.227668,25.52
500,0.339421,25.58
501,0.196126,25.61
502,0.290108,25.69
503,0.271233,25.74
504,0.219543,25.79
505,0.312345,25.89
506,0.225234,25.96
507,0.295699,26.00
508,0.254212,26.03
509,0.096298,26.05
510,0.318022,26.08
511,0.312796,26.14
512,0.273268,26.20
513,0.176406,26.22
514,0.325482,26.25
515,0.111427,26.26
516,0.303176,26.31
517,0.360149,26.36
518,0.285105,26.42
519,0.282760,26.46
520,0.306421,26.50
521,0.262982,26.58
522,0.302578,26.61
523,0.213511,26.67
524,0.291578,26.75
525,0.262274,26.80
526,0.240551,26.86
527,0.208613,26.90
528,0.296727,26.93
529,0.161651,27.00
530,0.269868,27.07
531,0.180574,27.12
532,0.161227,27.16
533,0.399018,27.24
534,0.232544,27.27
535,0.306487,27.35
536,0.324790,27.40
537,0.190341,27.46
538,0.173293,27.53
539,0.271707,27.60
540,0.310934,27.66
541,0.287804,27.70
542,0.206381,27.73
543,0.352625,27.78
544,0.281881,27.84
545,0.215395,27.86
546,0.247912,27.91
547,0.261231,28.00
548,0.274009,28.08
549,0.207656,28.13
550,0.189136,28.20
551,0.106251,28.25
552,0.285399,28.32
553,0.316230,28.40
554,0.130568,28.44
555,0.128755,28.50
556,0.248991,28.55
557,0.283156,28.63
558,0.193852,28.68
559,0.239363,28.74
560,0.155020,28.79
561,0.291904,28.86
562,0.363285,28.91
563,0.266274,28.97
564,0.317978,29.03
565,0.263316,29.10
566,0.286543,29.19
567,0.293932,29.25
568,0.133004,29.29
569,0.293437,29.37
570,0.303994,29.45
571,0.087158,29.47
572,0.280193,29.52
573,0.227286,29.59
574,0.356314,29.63
575,0.162646,29.66
576,0.176068,29.70
577,0.198465,29.75
578,0.189609,29.82
579,0.242687,29.86
580,0.247508,29.92
581,0.288907,29.97
582,0.301532,30.01
583,0.209189,30.05
584,0.272831,30.14
585,0.215471,30.22
586,0.199699,30.30
587,0.140620,30.35
588,0.292022,30.38
589,0.165150,30.44
590,0.268253,30.52
591,0.353593,30.63
592,0.412469,30.65
593,0.268787,30.73
594,0.188420,30.78
595,0.305844,30.84
596,0.167270,30.89
597,0.150406,30.93
598,0.131994,30.96
599,0.216830,31.02
600,0.272205,31.08
601,0.264562,31.15
602,0.268638,31.20
603,0.254907,31.26
604,0.218083,31.30
605,0.142992,31.37
606,0.223920,31.41
607,0.238418,31.45
608,0.141122,31.49
609,0.182578,31.54
610,0.227325,31.60
611,0.162007,31.67
612,0.284078,31.72
613,0.294156,31.78
614,0.195898,31.85
615,0.243886,31.97
616,0.209983,32.02
617,0.250179,32.07
618,0.207143,32.14
619,0.167156,32.22
620,0.226972,32.30
621,0.218274,32.39
622,0.226665,32.44
623,0.288006,32.49
624,0.255190,32.56
625,0.229903,32.64
626,0.220898,32.70
627,0.125625,32.74
628,0.211665,32.80
629,0.222272,32.87
630,0.195600,32.89
631,0.165203,32.93
632,0.193792,32.99
633,0.113446,33.00
634,0.355528,33.08
635,0.314829,33.13
636,0.190710,33.18
637,0.295923,33.26
638,0.445548,33.28
639,0.158229,33.34
640,0.234007,33.41
641,0.292436,33.47
642,0.308838,33.53
643,0.189205,33.58
644,0.164361,33.62
645,0.129861,33.66
646,0.213474,33.71
647,0.165539,33.75
648,0.166114,33.82
649,0.151084,33.87
650,0.338863,33.94
651,0.179121,33.98
652,0.179816,34.01
653,0.153147,34.03
654,0.162675,34.07
655,0.121775,34.13
656,0.253585,34.17
657,0.269937,34.21
658,0.267843,34.26
659,0.135928,34.30
660,0.263525,34.37
661,0.202839,34.41
662,0.216098,34.46
663,0.233672,34.50
664,0.120025,34.52
665,0.319469,34.56
666,0.272780,34.62
667,0.279230,34.66
668,0.069375,34.68
669,0.210241,34.73
670,0.174249,34.77
671,0.203706,34.81
672,0.163715,34.85
673,0.230645,34.90
674,0.174011,34.96
675,0.228919,34.98
676,0.232459,35.02
677,0.302961,35.05
678,0.208153,35.10
679,0.211807,35.14
680,0.205264,35.20
681,0.190416,35.26
682,0.216538,35.30
683,0.250581,35.36
684,0.278355,35.42
685,0.322073,35.47
686,0.301353,35.51
687,0.182664,35.57
688,0.223865,35.62
689,0.217112,35.66
690,0.256294,35.71
691,0.273130,35.77
692,0.196331,35.82
693,0.180431,35.86
694,0.201605,35.91
695,0.123426,35.94
696,0.153567,35.97
697,0.166603,36.02
698,0.150469,36.04
699,0.049164,36.05
700,0.177123,36.09
701,0.181688,36.14
702,0.157588,36.20
703,0.245893,36.25
704,0.232673,36.29
705,0.163266,36.33
706,0.267163,36.39
707,0.216809,36.44
708,0.270040,36.48
709,0.162092,36.54
710,0.184779,36.58
711,0.244508,36.65
712,0.261287,36.70
713,0.197061,36.75
714,0.375556,36.76
715,0.287560,36.82
716,0.171144,36.86
717,0.212905,36.90
718,0.227495,36.96
719,0.222603,37.04
720,0.226495,37.10
721,0.189121,37.17
722,0.274419,37.24
723,0.263128,37.31
724,0.274057,37.37
725,0.167686,37.43
726,0.221860,37.51
727,0.243227,37.57
728,0.186047,37.65
729,0.228317,37.70
730,0.209107,37.78
731,0.295915,37.84
732,0.268685,37.89
733,0.206819,37.97
734,0.222847,38.03
735,0.256224,38.12
736,0.167145,38.18
737,0.169493,38.25
738,0.250365,38.31
739,0.126538,38.38
740,0.128195,38.42
741,0.188413,38.48
742,0.301716,38.55
743,0.188662,38.61
744,0.216987,38.67
745,0.239682,38.77
746,0.190378,38.80
747,0.198852,38.84
748,0.228752,38.90
749,0.376579,38.92
750,0.141577,38.96
751,0.203752,38.99
752,0.132555,39.05
753,0.135918,39.10
754,0.153699,39.17
755,0.176192,39.22
756,0.262785,39.28
757,0.235902,39.34
758,0.197908,39.41
759,0.197621,39.44
760,0.179273,39.45
761,0.289768,39.51
762,0.277150,39.58
763,0.081381,39.60
764,0.289450,39.64
765,0.203074,39.67
766,0.122671,39.69
767,0.236789,39.76
