step,loss,time_seconds
507,0.259251,38.47
508,0.411197,38.55
509,0.294520,38.61
510,0.300582,38.68
511,0.309195,38.76
512,0.220052,38.82
513,0.289513,38.93
514,0.226422,39.00
515,0.144140,39.03
516,0.198455,39.10
517,0.222281,39.18
518,0.147869,39.23
519,0.264448,39.32
520,0.168663,39.37
521,0.318678,39.45
522,0.250531,39.49
523,0.382037,39.57
524,0.224838,39.68
525,0.134951,39.71
526,0.268257,39.81
527,0.209029,39.88
528,0.239850,39.91
529,0.336713,39.99
530,0.334083,40.12
531,0.242674,40.19
532,0.314986,40.26
533,0.316657,40.35
534,0.292652,40.42
535,0.264761,40.50
536,0.397007,40.54
537,0.255239,40.59
538,0.343706,40.66
539,0.237043,40.73
540,0.344980,40.80
541,0.279820,40.88
542,0.315822,40.96
543,0.391766,41.08
544,0.240926,41.17
545,0.232302,41.27
546,0.183237,41.31
547,0.333636,41.41
548,0.303822,41.48
549,0.314617,41.58
550,0.289300,41.66
551,0.313504,41.74
552,0.240743,41.82
553,0.247474,41.91
554,0.304953,41.98
555,0.311053,42.11
556,0.253368,42.18
557,0.225231,42.24
558,0.402810,42.37
559,0.293845,42.46
560,0.304941,42.55
561,0.303735,42.65
562,0.268165,42.73
563,0.328807,42.83
564,0.326758,42.91
565,0.284100,42.97
566,0.209522,43.04
567,0.221838,43.10
568,0.260910,43.22
569,0.305241,43.28
570,0.195192,43.37
571,0.101198,43.40
572,0.272767,43.51
573,0.147558,43.55
574,0.236199,43.61
575,0.230601,43.66
576,0.354176,43.76
577,0.304066,43.89
578,0.242081,43.96
579,0.108334,43.97
580,0.157227,44.04
581,0.311586,44.11
582,0.232602,44.19
583,0.384046,44.23
584,0.260205,44.29
585,0.282285,44.37
586,0.167864,44.42
587,0.327758,44.53
588,0.149622,44.58
589,0.158265,44.67
590,0.349059,44.77
591,0.285560,44.86
592,0.271623,44.97
593,0.213231,45.05
594,0.299555,45.09
595,0.195486,45.15
596,0.212448,45.22
597,0.238771,45.28
598,0.268470,45.37
599,0.285203,45.41
600,0.239075,45.46
601,0.285558,45.55
602,0.251755,45.60
603,0.335102,45.72
604,0.332076,45.81
605,0.300267,45.88
606,0.270650,45.96
607,0.355922,46.07
608,0.342917,46.15
609,0.174153,46.20
610,0.220515,46.30
611,0.189457,46.34
612,0.223293,46.42
613,0.294651,46.53
614,0.373764,46.59
615,0.192514,46.65
616,0.352143,46.74
617,0.154095,46.78
618,0.290379,46.84
619,0.226575,46.89
620,0.218512,46.93
621,0.343380,47.01
622,0.290656,47.14
623,0.307362,47.22
624,0.156735,47.27
625,0.136479,47.33
626,0.368632,47.46
627,0.246387,47.51
628,0.273632,47.58
629,0.206216,47.68
630,0.188175,47.72
631,0.332453,47.78
632,0.266607,47.87
633,0.217042,47.96
634,0.206945,48.03
635,0.299589,48.11
636,0.275387,48.21
637,0.212412,48.23
638,0.306817,48.32
639,0.206860,48.41
640,0.284168,48.48
641,0.183059,48.56
642,0.250937,48.66
643,0.257387,48.75
644,0.209569,48.78
645,0.361154,48.86
646,0.207305,48.94
647,0.147893,49.00
648,0.279715,49.11
649,0.265143,49.21
650,0.250916,49.29
651,0.272878,49.37
652,0.275623,49.43
653,0.153349,49.49
654,0.272348,49.58
655,0.337410,49.68
656,0.250009,49.77
657,0.255089,49.87
658,0.277228,49.98
659,0.085319,50.01
660,0.173019,50.07
661,0.253688,50.14
662,0.343266,50.18
663,0.280147,50.24
664,0.305229,50.31
665,0.173381,50.39
666,0.312990,50.48
667,0.137254,50.51
668,0.340360,50.62
669,0.272152,50.66
670,0.387385,50.77
671,0.292945,50.84
672,0.293931,50.88
673,0.148869,50.93
674,0.195625,51.01
675,0.207377,51.07
