step,loss,time_seconds
644,0.171455,30.26
645,0.299239,30.30
646,0.252390,30.32
647,0.138511,30.37
648,0.122032,30.40
649,0.193658,30.45
650,0.237387,30.49
651,0.212760,30.54
652,0.253534,30.61
653,0.145433,30.68
654,0.222898,30.74
655,0.114723,30.75
656,0.238719,30.79
657,0.161406,30.85
658,0.280528,30.89
659,0.152245,30.93
660,0.218559,30.95
661,0.175946,31.03
662,0.196235,31.10
663,0.231465,31.14
664,0.182843,31.19
665,0.210169,31.24
666,0.288218,31.29
667,0.164304,31.34
668,0.100619,31.36
669,0.148793,31.42
670,0.267268,31.47
671,0.246762,31.54
672,0.234207,31.60
673,0.138727,31.65
674,0.136937,31.69
675,0.208113,31.75
676,0.146262,31.81
677,0.259656,31.88
678,0.277655,31.93
679,0.074608,31.95
680,0.170066,32.00
681,0.150155,32.02
682,0.199985,32.07
683,0.213733,32.12
684,0.184040,32.17
685,0.201196,32.23
686,0.240447,32.30
687,0.222188,32.36
688,0.249094,32.39
689,0.234308,32.43
690,0.136206,32.48
691,0.193717,32.54
692,0.208346,32.59
693,0.191542,32.65
694,0.170766,32.70
695,0.290269,32.74
696,0.269026,32.81
697,0.207469,32.85
698,0.154570,32.89
699,0.203218,32.93
700,0.184186,33.00
701,0.220238,33.04
702,0.179143,33.08
703,0.248559,33.12
704,0.170076,33.16
705,0.181538,33.21
706,0.172911,33.26
707,0.128613,33.30
708,0.087155,33.33
709,0.130735,33.38
710,0.071926,33.41
711,0.190383,33.44
712,0.214105,33.49
713,0.228077,33.54
714,0.188848,33.56
715,0.199756,33.61
716,0.194225,33.66
717,0.240219,33.70
718,0.188241,33.76
719,0.152478,33.81
720,0.155243,33.86
721,0.240048,33.89
722,0.209778,33.96
723,0.227362,34.02
724,0.178576,34.06
725,0.271471,34.13
726,0.188236,34.18
727,0.250711,34.23
728,0.175811,34.29
729,0.162136,34.34
730,0.212202,34.40
731,0.231758,34.46
732,0.151303,34.49
733,0.127248,34.56
734,0.232391,34.61
735,0.067702,34.64
736,0.155169,34.70
737,0.233304,34.76
738,0.187556,34.81
739,0.183783,34.88
740,0.209343,34.94
741,0.133286,34.96
742,0.341860,34.98
743,0.146505,35.02
744,0.210830,35.08
745,0.154342,35.15
746,0.212626,35.20
747,0.239692,35.27
748,0.234024,35.30
749,0.272717,35.35
750,0.233306,35.40
751,0.171267,35.46
752,0.130040,35.51
753,0.252210,35.53
754,0.099448,35.59
755,0.277114,35.66
756,0.113489,35.71
757,0.162364,35.74
758,0.217797,35.78
759,0.143283,35.80
760,0.207381,35.86
761,0.122470,35.90
762,0.203267,35.96
763,0.223479,36.02
764,0.145267,36.06
765,0.183145,36.12
766,0.160933,36.16
767,0.180960,36.22
768,0.224258,36.27
769,0.184131,36.33
770,0.163974,36.40
771,0.301538,36.44
772,0.267509,36.49
773,0.284788,36.53
774,0.216415,36.59
775,0.172899,36.64
776,0.177007,36.68
777,0.268037,36.72
778,0.256136,36.78
779,0.152106,36.82
780,0.143229,36.86
781,0.171666,36.92
782,0.267891,36.97
783,0.119983,37.01
784,0.219716,37.07
785,0.128299,37.10
786,0.174154,37.15
787,0.295153,37.18
788,0.140682,37.22
789,0.242164,37.28
790,0.275327,37.32
791,0.147917,37.38
792,0.182928,37.40
793,0.182049,37.43
794,0.145827,37.48
795,0.284234,37.54
796,0.250230,37.58
797,0.231922,37.64
798,0.195082,37.68
799,0.101421,37.74
