step,loss
697,0.249071
698,0.260663
699,0.267913
700,0.283049
701,0.302990
702,0.198575
703,0.274800
704,0.289532
705,0.196179
706,0.234420
707,0.303348
708,0.184004
709,0.247427
710,0.330311
711,0.291362
712,0.329054
713,0.333318
714,0.298610
715,0.162534
716,0.250796
717,0.083354
718,0.302165
719,0.164771
721,0.233928
722,0.198786
723,0.290486
724,0.320239
725,0.214645
726,0.328751
727,0.301797
728,0.155601
729,0.230280
730,0.261852
731,0.250574
732,0.311309
733,0.262345
734,0.161823
735,0.091958
736,0.132871
737,0.230128
738,0.086177
739,0.335200
740,0.121850
741,0.124553
742,0.346894
743,0.401082
744,0.298120
745,0.191569
746,0.252070
747,0.369536
748,0.343147
749,0.442957
750,0.281029
751,0.147813
752,0.233726
753,0.156110
754,0.250319
755,0.267056
756,0.122899
757,0.228196
758,0.227008
759,0.234454
760,0.257965
761,0.254266
762,0.226006
763,0.240798
764,0.243631
765,0.319101
766,0.197628
767,0.215239
768,0.085769
769,0.323486
770,0.221767
771,0.153151
772,0.181672
773,0.256947
774,0.071701
775,0.071453
776,0.162296
777,0.169756
778,0.233317
779,0.302713
780,0.188410
781,0.144906
782,0.373398
783,0.103745
784,0.113795
785,0.307756
786,0.089729
787,0.215132
789,0.188272
790,0.307121
791,0.241773
792,0.239486
793,0.142810
794,0.078308
795,0.135051
796,0.243242
797,0.051396
798,0.227757
799,0.421346
800,0.187534
801,0.295081
802,0.194800
803,0.232762
804,0.175736
805,0.222847
806,0.048403
807,0.353245
808,0.326171
809,0.299934
810,0.144375
811,0.211239
812,0.498020
813,0.150433
814,0.231608
815,0.191555
816,0.271409
817,0.385123
818,0.350677
819,0.113425
820,0.160426
821,0.145991
823,0.164251
824,0.147013
825,0.328651
826,0.303004
827,0.300861
828,0.306668
829,0.318048
830,0.248926
831,0.281713
832,0.189050
833,0.222034
834,0.389849
835,0.234951
836,0.365049
837,0.187981
838,0.285513
839,0.239605
840,0.094990
841,0.154456
842,0.278150
843,0.315657
844,0.157590
845,0.160757
846,0.112354
847,0.264015
848,0.213176
849,0.192603
850,0.320320
851,0.287465
852,0.244281
853,0.185773
854,0.145224
855,0.170244
856,0.358913
857,0.262850
858,0.171523
859,0.233968
860,0.150335
861,0.301275
862,0.371322
863,0.180726
864,0.298935
865,0.243681
866,0.244674
867,0.286479
868,0.330860
869,0.208122
870,0.143291
871,0.268726
872,0.174862
873,0.315543
874,0.356742
875,0.349728
876,0.253388
877,0.223909
878,0.219418
879,0.268469
880,0.273574
881,0.059313
882,0.243592
883,0.234304
884,0.233543
885,0.238426
886,0.239978
887,0.364360
888,0.278353
889,0.264877
890,0.277134
891,0.251443
892,0.131374
893,0.240669
894,0.090604
895,0.371918
896,0.264880
897,0.362601
898,0.305976
899,0.293320
901,0.189338
902,0.349234
903,0.324299
905,0.250522
906,0.153819
907,0.076356
908,0.377482
909,0.240011
910,0.173110
911,0.269068
912,0.239293
913,0.307927
914,0.342137
915,0.326053
916,0.309537
917,0.105416
918,0.225407
919,0.113404
920,0.069391
921,0.261015
922,0.138173
923,0.073837
924,0.146981
925,0.210437
927,0.206378
928,0.119069
929,0.223194
930,0.253006
931,0.230523
932,0.186948
933,0.135805
934,0.116613
935,0.293109
936,0.347979
937,0.235757
938,0.056154
940,0.188198
941,0.078711
942,0.251163
943,0.086350
944,0.056688
945,0.215984
946,0.243335
947,0.096418
948,0.169564
950,0.232836
951,0.192097
952,0.210414
953,0.310301
954,0.287751
955,0.347582
956,0.189778
957,0.108391
958,0.170310
959,0.151610
960,0.131380
961,0.346733
962,0.214331
963,0.245437
964,0.154298
965,0.256876
966,0.194075
967,0.155472
968,0.291986
969,0.255021
970,0.299036
971,0.186613
972,0.203123
973,0.096956
974,0.156400
975,0.414416
976,0.281070
977,0.443128
978,0.181346
979,0.338959
980,0.108959
981,0.330969
982,0.202940
983,0.284074
984,0.258452
985,0.244601
986,0.283492
987,0.203823
988,0.290609
989,0.304901
990,0.235244
991,0.289687
992,0.243871
993,0.281434
994,0.248265
995,0.306269
996,0.234338
997,0.219805
998,0.312280
999,0.438463
1000,0.221927
1001,0.304166
1002,0.399170
1003,0.253060
1004,0.421270
1005,0.346319
1006,0.391391
1007,0.409877
1008,0.316135
1009,0.245212
1010,0.289401
1011,0.334237
1012,0.376805
1013,0.164973
1014,0.318611
1015,0.308958
1016,0.322189
1017,0.371321
1018,0.290463
1019,0.345466
1020,0.329050
1021,0.346507
1022,0.278607
1023,0.289305
1024,0.330559
1025,0.330458
1026,0.551290
1027,0.295546
1028,0.316554
1029,0.355151
1030,0.334196
1031,0.455274
1032,0.690061
1033,0.313683
1034,0.278045
1035,0.233043
1036,0.318394
1037,0.214247
1038,0.435685
1039,0.342638
1040,0.345279
1041,0.338663
1042,0.316772
1043,0.320465
1044,0.328532
1045,0.265373
1046,0.371836
1047,0.320807
1048,0.327912
1049,0.442985
1050,0.417976
1051,0.255045
1052,0.352253
1053,0.381155
1054,0.311034
1055,0.288620
1056,0.308395
1057,0.280445
1058,0.284662
1059,0.356258
1060,0.257472
1061,0.296602
1062,0.178950
1063,0.375452
1064,0.148692
1065,0.191024
1066,0.383383
1067,0.282110
1068,0.199535
1069,0.164530
1070,0.188829
1071,0.319616
1072,0.113020
1073,0.175817
1074,0.220847
1075,0.151116
1076,0.207087
1077,0.204093
1078,0.231606
1079,0.090558
1080,0.270481
1081,0.353189
1082,0.311263
1083,0.184337
1084,0.310688
1085,0.205778
1086,0.208056
1087,0.218663
1088,0.195558
1089,0.337570
1090,0.193476
1091,0.345943
1092,0.208626
1093,0.284146
1094,0.367965
1095,0.085233
1096,0.381997
1097,0.336862
1098,0.297866
1099,0.444928
1100,0.383921
1102,0.286156
1103,0.180131
1104,0.320468
1105,0.286557
1106,0.230962
1107,0.393424
1108,0.194753
1109,0.377044
1110,0.241750
1111,0.352587
1112,0.342954
1113,0.183336
1114,0.168525
1115,0.279841
1116,0.133508
1117,0.345301
1118,0.192372
1119,0.347740
1120,0.243531
1121,0.223760
1122,0.273656
1123,0.160259
1124,0.150116
1125,0.282804
1126,0.245072
1127,0.120777
1128,0.167960
1129,0.221888
1130,0.204902
1131,0.225380
1132,0.232156
1133,0.153101
1134,0.352217
1135,0.066194
1136,0.277745
1137,0.077354
1138,0.244412
1139,0.261958
1140,0.184635
1141,0.335231
1142,0.156632
1143,0.362969
1144,0.272203
1146,0.268116
1147,0.233133
1148,0.068490
1149,0.358682
1150,0.422540
1151,0.233680
1152,0.312239
1153,0.267426
1154,0.340650
1155,0.103697
1156,0.320204
1157,0.130266
1158,0.191434
1159,0.203749
1160,0.335579
1161,0.415516
1162,0.255508
1163,0.278887
1164,0.181861
1165,0.355909
1166,0.278670
1167,0.253855
1168,0.310701
1169,0.206772
1170,0.358772
1171,0.166995
1172,0.344530
1173,0.067508
1174,0.329620
1175,0.191636
1176,0.294575
1177,0.235434
1178,0.102117
1179,0.209056
1180,0.252109
1181,0.347912
1182,0.357197
1183,0.247004
1184,0.181920
1185,0.133862
1186,0.208561
1187,0.207698
1188,0.286930
1189,0.136213
1190,0.230976
1191,0.189064
1192,0.242815
1193,0.116830
1194,0.216406
1195,0.178986
1196,0.248633
1197,0.319081
1198,0.164279
1199,0.080017
1200,0.136711
1201,0.162614
1202,0.206810
1203,0.338260
1204,0.179213
1205,0.291591
1206,0.287961
1207,0.273863
1208,0.189507
1209,0.197052
1210,0.117937
1211,0.211011
1212,0.257648
1213,0.234418
1214,0.232776
1215,0.279464
1216,0.302401
1217,0.151104
1218,0.154391
1219,0.276253
1220,0.210050
1221,0.182015
1222,0.221598
1223,0.276990
1224,0.120292
1225,0.292762
1226,0.275188
1227,0.228610
1228,0.160439
1229,0.290507
1230,0.149955
1231,0.175119
1232,0.358281
1234,0.367455
1235,0.237349
1236,0.296805
1237,0.166620
1238,0.247739
1239,0.175682
1240,0.468977
1241,0.276542
1242,0.104290
1243,0.208466
1244,0.078767
1245,0.186571
1246,0.209265
1247,0.199939
1248,0.088097
1249,0.324325
1250,0.263918
1251,0.151423
1252,0.229047
1254,0.124709
1255,0.352283
1256,0.282704
1257,0.295975
1258,0.216470
1259,0.177853
1260,0.296835
1261,0.277537
1262,0.351544
1263,0.282706
1264,0.250005
1265,0.279284
1266,0.271791
1267,0.139243
1268,0.197705
1269,0.344508
1270,0.317014
1271,0.307764
1272,0.200561
1273,0.127182
1274,0.370640
1275,0.190205
1276,0.144639
1277,0.213953
1278,0.171059
1279,0.276321
1280,0.119818
1281,0.438895
1282,0.345013
1283,0.316356
1284,0.058149
1285,0.312455
1286,0.307925
1287,0.179873
1288,0.213718
1289,0.259657
1290,0.299935
1292,0.176592
1293,0.296717
1294,0.137470
1296,0.270147
1297,0.228704
1298,0.260705
1299,0.262036
1300,0.167400
1301,0.213812
1302,0.075788
1303,0.247214
1304,0.183822
1305,0.216552
1306,0.301306
1307,0.053307
1308,0.172709
1309,0.317275
1310,0.344707
1311,0.324878
1312,0.132281
1313,0.350341
1314,0.313738
1315,0.208001
1316,0.215565
1317,0.139329
1318,0.169381
1319,0.430869
1320,0.273483
1321,0.183019
1322,0.244619
1323,0.132974
1324,0.316166
1326,0.163367
1327,0.104126
1328,0.191133
1329,0.210629
1330,0.227687
1331,0.420553
1332,0.116744
1333,0.384915
1334,0.245308
1335,0.067283
1336,0.068180
1337,0.158527
1338,0.158827
1339,0.394464
1340,0.076691
1341,0.337024
1342,0.311378
1343,0.271166
1344,0.285506
1345,0.226735
1346,0.221294
1347,0.134082
1348,0.298144
1349,0.280996
1350,0.320817
1351,0.152223
1352,0.127620
1353,0.261179
1354,0.074082
1355,0.245207
1356,0.066516
1357,0.187486
1358,0.209868
1359,0.238578
1360,0.176242
1361,0.270346
1362,0.316665
1363,0.235860
1364,0.250239
1365,0.285804
1366,0.200575
1367,0.250275
1368,0.336333
1369,0.359127
1370,0.214678
1371,0.200134
1372,0.117237
1373,0.155607
1374,0.189252
1375,0.200069
1376,0.070810
1377,0.170296
1378,0.242217
1379,0.201198
1380,0.269088
1381,0.126437
1382,0.146612
1383,0.177788
1384,0.058925
1385,0.098792
1386,0.193909
1387,0.211215
1388,0.170713
1389,0.132042
1390,0.249285
1391,0.180263
1392,0.332133
1393,0.224693
1394,0.252611
1395,0.213215
1396,0.149257
1397,0.145133
1398,0.133181
1399,0.362076
1400,0.256123
1401,0.305914
1402,0.220001
1403,0.149947
1404,0.228183
1405,0.048716
1406,0.222027
1407,0.194169
1408,0.099983
1409,0.145918
1410,0.296273
1411,0.134447
1412,0.230946
1413,0.127733
1414,0.237058
1415,0.357103
1416,0.039978
1417,0.448864
1418,0.183671
1419,0.284321
1420,0.193784
1421,0.286867
1422,0.196107
1423,0.219308
1424,0.205663
1425,0.295057
1426,0.074378
1427,0.228330
1428,0.223059
1429,0.277667
1430,0.090436
1431,0.153798
1432,0.130734
1433,0.332551
1434,0.229576
1435,0.162179
1436,0.237665
1437,0.073773
1438,0.214529
1439,0.057477
1440,0.252862
1441,0.218690
1442,0.195200
1443,0.188768
1444,0.172296
1445,0.136843
1446,0.063254
1447,0.230696
1448,0.274799
1449,0.209109
1450,0.083554
1451,0.195317
1452,0.403276
1453,0.304562
1454,0.223214
1455,0.150422
1456,0.130730
1457,0.056605
1458,0.220841
1459,0.253454
1460,0.131322
1461,0.173297
1462,0.232682
1463,0.119643
1464,0.145173
1465,0.137908
1466,0.300673
1467,0.064485
1468,0.234090
1469,0.358023
1470,0.080888
1471,0.323071
1472,0.299130
1473,0.045008
1474,0.064971
1475,0.216652
1476,0.276002
1477,0.211932
1478,0.194959
1479,0.248000
1480,0.306667
1481,0.125581
1482,0.071808
1483,0.186180
1484,0.184895
1485,0.074293
1486,0.182705
1487,0.147446
1488,0.168696
1489,0.168249
1490,0.196196
1491,0.237923
1492,0.035910
1493,0.244825
1494,0.257260
1495,0.280221
1496,0.154257
1497,0.077048
1498,0.250501
1499,0.309372
